State,Year,Candidate,Constituency,Party,Criminal_Case,Education,Total_Assets,Liabilities
Bihar,2020,Amarendra Kumar,CHAKAI,Bahujan Mukti Party,0,Graduate,20370552.0,"Rs 28,35,327"
Bihar,2020,Amaresh Kumar,LAKHISARAI,INC,0,Literate,24687213.0,"Rs 33,50,000"
Bihar,2020,Amarjeet Kushwaha,ZIRADEI,CPI(ML)(L),14,Graduate,1981425.0,Rs 0
Bihar,2020,Amarjit Patel,SURYAGARHA,IND,0,Graduate,27260000.0,"Rs 6,85,000"
Bihar,2020,Amarjit Thakur,BIBHUTIPUR,IND,3,Graduate,1884100.0,Rs 0
Bihar,2020,Amarnath Yadav,DARAUNDA,CPI(ML)(L),9,Literate,7801381.0,"Rs 9,33,264"
Bihar,2020,Ambika Pd Singh,KHAJAULI,IND,0,Post Graduate,79039011.0,"Rs 5,00,000"
Bihar,2020,Ambika Singh,RAMGARH,BSP,3,10th Pass,10432558.0,"Rs 9,00,000"
Bihar,2020,Amir Ram,SONBARSHA (SC),The Plurals Party,0,Graduate,3379343.0,Rs 0
Bihar,2020,Amish Kumar,MATIHANI,IND,0,Literate,1800000.0,"Rs 75,000"
Bihar,2020,Amit Alok,BHAGALPUR,The Plurals Party,2,Graduate,14634164.0,"Rs 49,57,008"
Bihar,2020,Amit Anand Jha,ARARIA,The Plurals Party,0,Post Graduate,2675025.0,Rs 0
Bihar,2020,Amit Choudhari,SURSAND,LJP,12,10th Pass,32991321.0,Rs 0
Bihar,2020,Amit Kumar,KUMHRAR,IND,0,Graduate,2668000.0,"Rs 7,00,000"
Bihar,2020,Amit Kumar,BAKHRI (SC),NCP,1,12th Pass,1235000.0,Rs 0
Bihar,2020,Amit Kumar,SAHARSA,IND,0,Graduate,7501000.0,"Rs 3,84,357"
Bihar,2020,Amit Kumar,RIGA,INC,7,10th Pass,149664358.0,"Rs 5,00,000"
Bihar,2020,Amit Kumar,GAYA TOWN,IND,0,Graduate,166533000.0,"Rs 6,87,533"
Bihar,2020,Amit Kumar,MAHARAJGANJ,IND,1,10th Pass,11290000.0,"Rs 1,60,000"
Bihar,2020,Amit Kumar Albela,PATNA SAHIB,IND,3,Graduate,14000000.0,Rs 602
Bihar,2020,Amit Kumar Bharti,SINGHESHWAR (SC),LJP,0,12th Pass,9561000.0,"Rs 4,50,000"
Bihar,2020,Amit Kumar Mahto,KHAJAULI,IND,0,5th Pass,2769346.0,"Rs 1,00,000"
Bihar,2020,Amit Kumar Paswan,RAJGIR (SC),JD(S),3,Doctorate,1390172.0,Rs 0
Bihar,2020,Amit Kumar Singh,PIPRA,IND,0,Graduate,5157500.0,Rs 0
Bihar,2020,Amita Bhushan,BEGUSARAI,INC,4,Post Graduate,99913989.0,"Rs 44,32,893"
Bihar,2020,Amithav Kumar,KHAGARIA,IND,0,Literate,2178274.0,Rs 0
Bihar,2020,Amjad Hussain Anwar,PARIHAR,Rashtriya Lok Samta Party,0,Graduate,9988975.0,"Rs 8,00,000"
Bihar,2020,Amla Tripathi,SASARAM,IND,0,Graduate,15700000.0,"Rs 1,55,00,000"
Bihar,2020,Amlesh Kumar Jha,PIPRA,AIFB,0,Graduate,4093500.0,Rs 0
Bihar,2020,Amod Gop,SONEPUR,IND,1,12th Pass,1412710.0,"Rs 11,058"
Bihar,2020,Amrendra Kumar Pandey,KUCHAIKOTE,JD(U),11,12th Pass,71595863.0,"Rs 93,84,298"
Bihar,2020,Amrendra Kumar Verma,KESARIA,IND,0,Graduate Professional,2893188.0,Rs 0
Bihar,2020,Amrendra Pratap Singh,ARRAH,BJP,0,Graduate,20884759.0,Rs 0
Bihar,2020,Amresh Kumar,MAHUA,IND,0,Graduate,296640.0,Rs 0
Bihar,2020,Amresh Ray,MATIHANI,IND,2,Literate,10890967.0,"Rs 12,00,000"
Bihar,2020,Amrit Raj,SUGAULI,IND,0,Graduate,8177485.0,Rs 0
Bihar,2020,Amritesh Kumar Singh,MARHAURA,Rashtriya Jan Jan Party,0,12th Pass,1150000.0,Rs 0
Bihar,2020,Amroop Kumar,MUZAFFARPUR,IND,0,10th Pass,2145405.0,"Rs 2,75,000"
Bihar,2020,Anand Kumar Rai,MARHAURA,IND,2,Graduate,19261549.0,"Rs 26,62,865"
Bihar,2020,Anand Shankar Singh,AURANGABAD,INC,3,Post Graduate,35883259.0,"Rs 9,04,666"
Bihar,2020,Anand Verma,LALGANJ,NCP,0,12th Pass,925471.0,"Rs 3,60,000"
Bihar,2020,Anang Bhushan Verma Alias Babloo,BANKIPUR,IND,0,Graduate,7515193.0,Rs 0
Bihar,2020,Anant Kumar Ray,NARPATGANJ,Bahujan Mukti Party,1,10th Pass,8617000.0,"Rs 2,00,000"
Bihar,2020,Anant Kumar Singh,MOKAMA,RJD,38,Literate,685678795.0,"Rs 17,15,83,625"
Bihar,2020,Anay Kumar,KANTI,Rashtriya Jan Jan Party,10,Graduate,1923340.0,"Rs 15,00,000"
Bihar,2020,Angad Kumar Kushwaha,PARBATTA,Rashtriya Lok Samta Party,0,Graduate,13455879.0,Rs 0
Bihar,2020,Angesh Kumar,SHEOHAR,IND,3,Graduate Professional,267187169.0,"Rs 2,26,00,000"
Bihar,2020,Aniket Ranjan,PIPRA,Rashtriya Jan Jan Party,6,Graduate,4699250.0,"Rs 1,00,000"
Bihar,2020,Anil Kumar,BIKRAM,IND,0,Graduate,51944019.0,"Rs 67,47,613"
Bihar,2020,Anil Kumar,MASAURHI (SC),IND,0,10th Pass,250549.0,Rs 0
Bihar,2020,Anil Kumar,BIHARSHARIF,IND,0,Graduate Professional,6970000.0,Rs 0
Bihar,2020,Anil Kumar,ASTHAWAN,RJD,0,Graduate,12434074.0,"Rs 11,00,000"
Bihar,2020,Anil Kumar,PATEPUR (SC),IND,0,Graduate Professional,641000.0,Rs 0
Bihar,2020,Anil Kumar,BATHNAHA (SC),BJP,0,Graduate Professional,1180597.0,Rs 0
Bihar,2020,Anil Kumar,KUTUMBA (SC),Jan Adhikar Party (Loktantrik),1,Graduate,1399000.0,"Rs 12,29,200"
Bihar,2020,Anil Kumar,AURANGABAD,BSP,0,Graduate,21617200.0,"Rs 35,75,000"
Bihar,2020,Anil Kumar Bandhu,SINGHESHWAR (SC),Jan Adhikar Party (Loktantrik),1,12th Pass,5366000.0,Rs 0
Bihar,2020,Anil Kumar Giri,BARHARIA,IND,1,10th Pass,8265000.0,"Rs 50,000"
Bihar,2020,Anil Kumar Mishra,NARKATIAGANJ,IND,0,Graduate,45386000.0,"Rs 80,000"
Bihar,2020,Anil Kumar Oraon,MANIHARI (ST),LJP,4,12th Pass,5837036.0,"Rs 7,38,155"
Bihar,2020,Anil Kumar Ram,BANIAPUR,Janta Dal Rashtravadi,0,Graduate,2130000.0,Rs 0
Bihar,2020,Anil Kumar Sahani,KURHANI,RJD,1,Doctorate,17681211.0,"Rs 15,29,976"
Bihar,2020,Anil Kumar Sharma,HISUA,Rashtriya Jan Jan Party,2,Graduate,269120996.0,"Rs 1,49,27,849"
Bihar,2020,Anil Kumar Singh,ARRAH,Janata Party,0,Doctorate,5595000.0,"Rs 35,00,000"
Bihar,2020,Anil Kumar Singh,JAGDISHPUR,IND,0,Graduate Professional,32562591.0,"Rs 59,50,000"
Bihar,2020,Anil Kumar Singh,DINARA,IND,0,Post Graduate,2311096.0,Rs 0
Bihar,2020,Anil Kumar Singh,AMARPUR,NCP,1,10th Pass,5851210.0,Rs 0
Bihar,2020,Anil Kumar Singh,JEHANABAD,JD(S),0,Graduate Professional,2791000.0,Rs 0
Bihar,2020,Anil Kumar Singh,SUPAUL,IND,3,Post Graduate,10544870.0,"Rs 19,22,426"
Bihar,2020,Anil Kumar Yadav,BABUBARHI,RPI(A),0,12th Pass,1338000.0,"Rs 1,00,000"
Bihar,2020,Anil Kumar Yadav,NARPATGANJ,RJD,0,Graduate,40758726.0,"Rs 69,54,357"
Bihar,2020,Anil Paswan,PATEPUR (SC),Jan Adhikar Party (Loktantrik),1,12th Pass,7840000.0,Rs 0
Bihar,2020,Anil Singh,HISUA,BJP,7,Graduate,38675662.0,"Rs 1,06,11,873"
Bihar,2020,Anil Yadav,KAHALGAON,Jan Adhikar Party (Loktantrik),0,Graduate,132000.0,Rs 0
Bihar,2020,Anila Devi,BIHARIGANJ,IND,0,8th Pass,7354750.0,"Rs 3,00,000"
Bihar,2020,Aniruddh Kumar,BAKHTIARPUR,RJD,11,12th Pass,25534500.0,"Rs 12,03,932"
Bihar,2020,Aniruddh Mehta,BIHARIGANJ,IND,0,Literate,6297622.0,Rs 0
Bihar,2020,Aniruddha Prasad Yadav,NIRMALI,JD(U),0,12th Pass,63105120.0,Rs 0
Bihar,2020,Anirudh Kumar,NOKHA,Peoples Party of India (Democratic),0,12th Pass,575000.0,"Rs 1,30,000"
Bihar,2020,Anirudh Prasad Alias Sadhu Yadav,GOPALGANJ,BSP,5,Graduate,41947696.0,"Rs 2,20,85,380"
Bihar,2020,Anish Kumar,AURAI,JD(S),0,10th Pass,1865000.0,"Rs 6,00,000"
Bihar,2020,Anisha Prity,PURNIA,The Plurals Party,0,Post Graduate,136653.0,Rs 0
Bihar,2020,Anita Devi,SUGAULI,IND,0,10th Pass,100797542.0,"Rs 85,62,217"
Bihar,2020,Anita Devi,BAKHRI (SC),IND,0,Literate,286000.0,Rs 0
Bihar,2020,Anita Devi,BATHNAHA (SC),IND,0,Graduate,607500.0,Rs 0
Bihar,2020,Anita Devi,NOKHA,RJD,1,12th Pass,12006578.0,"Rs 12,16,000"
Bihar,2020,Anita Devi,PALIGANJ,IND,0,8th Pass,25692115.0,"Rs 15,00,000"
Bihar,2020,Anita Kumari,ARWAL,IND,0,10th Pass,2390000.0,Rs 0
Bihar,2020,Anita Kumari,SARAIRANJAN,Rashtriya Lok Samta Party,0,Post Graduate,7348969.0,Rs 0
Bihar,2020,Anita Kumari Alias Anita Jha,MADHUBANI,IND,0,Post Graduate,10660000.0,Rs 0
Bihar,2020,Anita Yadav,NOKHA,Jan Adhikar Party (Loktantrik),0,Post Graduate,18500730.0,"Rs 19,44,390"
Bihar,2020,Anjani Kumar,AMARPUR,IND,0,10th Pass,2000300.0,Rs 0
Bihar,2020,Anjum Ara,DUMRAON,JD(U),0,Post Graduate,10926777.0,Rs 0
Bihar,2020,Ankush Kumar Singh,PIPRA,Jan Adhikar Party (Loktantrik),0,12th Pass,4650500.0,"Rs 50,000"
Bihar,2020,Annpurna Singh,MAHNAR,Bhartiya Sablog Party,0,Post Graduate,65206.0,Rs 0
Bihar,2020,Anshu Kumari,DUMRAON,IND,0,Graduate,954000.0,Rs 0
Bihar,2020,Anu Vivek,KESARIA,The Plurals Party,0,Graduate,3272750.0,"Rs 14,04,000"
Bihar,2020,Anuj Kumar,NATHNAGAR,IND,2,Graduate Professional,10396075.0,Rs 0
Bihar,2020,Anuj Kumar Mandal,KAHALGAON,NCP,0,Post Graduate,50998115.0,"Rs 10,44,790"
Bihar,2020,Anuj Kumar Singh,NABINAGAR,IND,0,8th Pass,613944.0,Rs 0
Bihar,2020,Anuj Kumar Sinha,GAYA TOWN,IND,0,Graduate Professional,5382184.0,Rs 0
Bihar,2020,Anunay Sinha,PAROO,INC,0,Graduate Professional,464228000.0,"Rs 1,06,00,000"
Bihar,2020,Anup Kumar Mishra,NARKATIAGANJ,The Plurals Party,1,Post Graduate,6201000.0,"Rs 2,89,945"
Bihar,2020,Anup Kumar Tewari,GORIAKOTHI,IND,0,Post Graduate,83400320.0,"Rs 1,04,16,499"
Bihar,2020,Anupam Kumari,SURSAND,Rashtriya Jan Jan Party,1,Graduate,277014.0,Rs 0
Bihar,2020,Anuradha Singh,BENIPATTI,The Plurals Party,0,Graduate,65122800.0,Rs 0
